PO_NUMBER,INVOICE_ID,INVOICE_NUM,SOURCE,INV_LINE_NUMBER,ACCOUNT_CODE,COMPANY_CODE,MIC,INVOICE_DATE,INVOICE_AMOUNT,TRAN_AMOUNT,EXTC,STATE,VENDOR_NAME,INVOICE_FR,FINAL_DESCRIPTION,PROJ_NUM,TAX_AMOUNT,TAX_TYPE,ACCOUNTING_DATE,NORAD_FLAG,DRIVERID,invoice_month,invoice_year
null,349463887,55062,ENGBL,16,1439.11,5N00,NONE,2023-01-16,1050.5300000000,44,460,NC,SOURCEONE CORP>9I,34946388716,Deferred Charges-Engineering Projects | Contract Engineering & Drafting (Excl Installation),A02GCN5,null,,2023-01-31,N,null,2023-01,2023
null,349463902,310690938        2210082209923,ENGIEW,1,6531.60M,5S00,,2023-01-03,76.9800000000,77,5B1,SC,ENGIE INSIGHT SERVICES INC>,3494639021,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349464085,ERP0000079884488,71ERPAP,1,4130.55,SS00,,2023-01-14,25.7900000000,26,CYD,GA,FOR CUSTOMER,3494640851,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349464146,809724CT,ENGBL,1,1439.11,5L00,NONE,2023-01-16,1469.6400000000,75,460,LA,BYERS ENGINEERING CO           EDI>9B,3494641461,Deferred Charges-Engineering Projects | Contract Engineering & Drafting (Excl Installation),A02HH4G,null,,2023-01-31,N,null,2023-01,2023
null,349464235,ERP0000079896656,71ERPAP,1,4130.55,SS00,,2023-01-16,11.3000000000,11,CYD,GA,FOR CUSTOMER,3494642351,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349464265,ERP0000079896661,71ERPAP,1,4130.55,SS00,,2023-01-16,68.4600000000,68,CYD,GA,FOR CUSTOMER,3494642651,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349464281,3513831,SCM,1,2003.157C,3551,MOBOTHER,2023-01-11,515.0000000000,515,481,CA,GENERAL DYNAMICS INFORMATION TECHNOLOGY,3494642811,Tele PUC-Circuit Equip - Digital Data Systems (DDS) | Contract Labor (Excl Installation),MA13QK6,null,,2023-01-31,N,null,2023-01,2023
null,349464318,ERP0000079884513,71ERPAP,1,4130.55,SS00,,2023-01-14,48.0000000000,48,CYD,GA,FOR CUSTOMER,3494643181,Current Liab-Refunds-CAPM ERP-AP Clearing | Corporate Entry - Other,,null,,2023-01-31,N,null,2023-01,2023
null,349464345,310799488        195725,ENGIEW,1,6121.25,AQ00,,2023-01-06,3321.5000000000,664,53A,IL,ENGIE INSIGHT SERVICES INC>,3494643451,Land & Bldgs Exp - Utilities - Electrical Power | Transmission Energy - Other (NonCentral Office),,null,,2023-01-31,N,null,2023-01,2023
null,349464625,310698956        4796100000,ENGIEW,1,6531.60M,AP00,,2023-01-04,56.5600000000,57,5B1,WI,ENGIE INSIGHT SERVICES INC>,3494646251,Power Expense | Transmission Energy - Central Office,,null,,2023-01-31,N,null,2023-01,2023
null,349464631,310708535        27020616198033,ENGIEW,1,6121.27,PC00,,2023-01-01,36.3200000000,36,53B,CA,ENGIE INSIGHT SERVICES INC>,3494646311,Land & Bldgs Exp - Utilities - Water/Sewage | Water Supplies,,null,,2023-01-31,N,null,2023-01,2023
null,349464874,3513644,SCM,1,2003.157C,3661,MOBOTHER,2023-01-11,566.5000000000,567,481,HI,GENERAL DYNAMICS INFORMATION TECHNOLOGY,3494648741,Tele PUC-Circuit Equip - Digital Data Systems (DDS) | Contract Labor (Excl Installation),MA0YCGN,null,UT,2023-01-31,N,null,2023-01,2023
null,349464925,F000221,ENGBL,4,2003.845C,5F00,NONE,2023-01-12,1109.6000000000,111,450,FL,SOURCEONE CORP>9I,3494649254,Tele PUC-Buried Cable-Nonmetallic | Contract Plant Labor (Excl Installation),A02FMH7,null,,2023-01-31,N,null,2023-01,2023
